ID;Name_lang;Pos;ContinentID;AreaID;Icon;Importance
1;Anvilmar;-6134.27978515625,383.76300048828125,0;0;132;6;3
2;Brill;2249.85009765625,278.4138488769531,0;0;0;6;3
3;Darkshire;-10564.7001953125,-1170.6500244140625,0;0;-1;4;3
4;Deathknell;1879.832275390625,1588.2027587890625,0;0;0;6;3
5;Dun Algaz;-4191.0234375,-2373.14013671875,0;0;0;6;3
6;Dun Modr;-2610.25830078125,-2350.558349609375,0;0;0;6;3
7;Goldshire;-9480.0888671875,63.52175521850586,0;0;0;6;3
8;Ironforge;-5021,-834.0590209960938,0;0;-1;5;3
9;Kharanos;-5585.95068359375,-482.12652587890625,0;0;0;6;2
10;Lakeshire;-9227.6904296875,-2201.469970703125,0;0;-1;4;3
11;Menethil Harbor;-3672.699951171875,-828.4550170898438,0;0;-1;4;3
12;Moonbrook;-11017.06640625,1510.16796875,0;0;0;6;3
13;Northshire Abbey;-8896.1591796875,-179.32833862304688,0;0;0;6;3
14;Raven Hill;-10752.5263671875,310.4333801269531,0;0;0;6;3
15;Sentinel Hill;-10503.7001953125,1027.760009765625,0;0;-1;4;3
16;Stormwind;-9153.76953125,364.0570068359375,0;0;-1;5;3
17;The Sepulcher;508.072998046875,1619.02001953125,0;0;-1;4;3
18;The Undercity;1849.68994140625,235.69900512695312,0;0;-1;5;4
19;Thelsamar;-5349.27001953125,-2959.909912109375,0;0;-1;4;3
20;Alliance;-448.98199462890625,-1028.219970703125,0;37;0;0;0
21;Horde;-669.1339721679688,-483.28900146484375,0;37;0;0;0
22;Southshore;-803.031005859375,-531.7269897460938,0;0;-1;4;3
23;Tarren Mill;-27.035400390625,-900.56201171875,0;0;-1;4;3
24;Refuge Pointe;-1251.050048828125,-2526.81005859375,0;0;0;6;3
25;Hammerfall;-991.5700073242188,-3528.340087890625,0;0;-1;4;3
26;Kargath;-6676.419921875,-2186.679931640625,0;0;-1;4;3
27;Angor Fortress;-6392.64990234375,-3158,0;0;0;6;3
28;Bloodhoof Village;-2323.919921875,-394.9809875488281,0;1;0;6;3
29;Thunder Bluff;-1205.4100341796875,29.42140007019043,0;1;-1;5;3
30;Camp Narache;-2906.489990234375,-253.60699462890625,0;1;0;6;3
31;Razor Hill;312.65899658203125,-4745.52001953125,0;1;362;6;3
32;The Den;-604.0980224609375,-4202.919921875,0;1;0;6;3
33;Orgrimmar;1381.77001953125,-4371.16015625,0;1;-1;5;3
34;Sen'jin Village;-819.4920043945312,-4918.240234375,0;1;367;6;3
35;The Crossroads;-455.8999938964844,-2652.14990234375,0;1;-1;4;3
36;Aldrassil;10462.7001953125,805.9929809570312,0;1;188;4;3
37;Dolanaar;9787.990234375,949.89697265625,0;1;-1;4;3
38;Darnassus;9951.75,2254.5,0;1;-1;5;3
39;Ratchet;-951.364013671875,-3680.070068359375,0;1;0;4;3
40;Booty Bay;-14383.2998046875,487.1390075683594,0;0;0;4;3
41;Grom'gol Base Camp;-12378.400390625,185.73399353027344,0;0;-1;4;3
42;Astranaar;2720.429931640625,-382.3909912109375,0;1;-1;4;3
44;Stonetalon Peak;2658.780029296875,1449.7099609375,0;1;0;4;3
45;Thalanaar;-4510.02978515625,-779.4739990234375,0;1;0;4;3
46;Freewind Post;-5454.06982421875,-2445.5,0;1;0;4;3
227;Mirror Lake;-9389.259765625,458.427001953125,0;0;-1;2;0
247;Slaughter Hollow;861.2160034179688,-558.2169799804688,0;0;282;2;0
327;Drywhisker Gorge;-1014.219970703125,-3827.389892578125,0;0;321;6;0
701;Sun Rock Retreat;936.3079833984375,910.9739990234375,0;1;-1;4;3
707;Temple of Zin-Malor;3549.14990234375,-5359.1201171875,0;1;1221;6;0
708;Hetaera's Clutch;3556.639892578125,-6232.7900390625,0;1;1227;6;0
709;Uther's Tomb;969.176025390625,-1825.52001953125,0;0;197;6;0
710;Scholomance;1262.18994140625,-2579.409912109375,0;0;-1;6;0
767;Whitereach Post;-4917.35009765625,-1375.5,0;1;480;6;0
788;Stonard;-10443.7001953125,-3277.489990234375,0;0;-1;4;3
789;Gadgetzan;-7139.14990234375,-3752.110107421875,0;1;-1;4;3
790;Camp Mojache;-4394.97998046875,215.61099243164062,0;1;-1;4;3
791;Theramore Isle;-3680.169921875,-4388.509765625,0;1;-1;4;3
792;Aerie Peak;234.85000610351562,-2127.760009765625,0;0;-1;4;3
794;Everlook;6723.4599609375,-4662.5,0;1;-1;4;3
795;Shadowprey Village;-1657.8499755859375,3097.919921875,0;1;-1;4;3
796;Feathermoon Stronghold;-4434.990234375,3276.739990234375,0;1;-1;4;3
798;Auberdine;6439.330078125,411.95098876953125,0;1;-1;4;3
799;Nijel's Point;202.52099609375,1308.239990234375,0;1;-1;4;3
907;Aldrassil;10479.599609375,812.281005859375,0;1;188;6;0
908;Shadowthread Cave;10756.2001953125,921.301025390625,0;1;188;6;0
909;Fel Rock;10050.599609375,1031.199951171875,0;1;186;6;0
911;Ban'ethil Barrow Den;9864.169921875,1557.4100341796875,0;1;736;6;0
912;The Cleft;10316.400390625,1200.6199951171875,0;1;266;6;0
913;Razorwind Canyon;636.9630126953125,-4534.0400390625,0;1;410;6;0
929;Tor'kren Farm;726.2969970703125,-4242.41015625,0;1;369;6;0
947;Steelgrill's Depot;-5488.0400390625,-658.6699829101562,0;0;131;6;0
948;Ironband's Compound;-5858.7001953125,-2004.0999755859375,0;0;212;6;0
949;Echo Ridge Mine;-8676.5703125,-119.63400268554688,0;0;24;6;0
950;Maclure Vineyards;-9948.3896484375,69.15679931640625,0;0;57;6;0
951;Stonefield Farm;-9901.1396484375,378.19000244140625,0;0;57;6;0
954;Northshire Vineyards;-9067.349609375,-333.9649963378906,0;0;24;6;0
955;Tower of Ilgalar;-9281.330078125,-3318.81005859375,0;0;1000;6;0
956;Render's Rock;-8674.1201171875,-2290.050048828125,0;0;996;6;0
1007;Spirit Den;-13751.400390625,-18.316499710083008,0;0;1737;6;0
1008;Rethban Caverns;-8970.759765625,-2002.699951171875,0;0;-1;6;0
1010;Boulderfist Outpost;-1194.050048828125,-2119.159912109375,0;0;1858;6;0
1011;Grosh'gok Compound;-11112.2001953125,-2335.6298828125,0;0;2561;6;0
1012;Stagalbog Cave;-10803.2001953125,-3739.010009765625,0;0;1797;6;0
1013;Temple of Atal'Hakkar;-10429.900390625,-3828.52001953125,0;0;74;6;0
1014;The Tower of Arathor;-1778.2099609375,-1513.1600341796875,0;0;324;6;0
1015;Wildhammer Keep;316.9460144042969,-2119.300048828125,0;0;348;6;0
1016;Night Web's Hollow;2046.1099853515625,1829.449951171875,0;0;154;6;0
1017;Terrorweb Tunnel;3035.330078125,-2773.89990234375,0;0;2627;6;0
1018;Browman Mill;2483.97998046875,-5183.7900390625,0;0;2271;6;0
1027;Uldaman;-6092.009765625,-3179.35009765625,0;0;1897;6;0
1028;Dustbelch Grotto;-7320.58984375,-2265.090087890625,0;0;344;6;0
1029;Westbrook Garrison;-9615.7099609375,667.3270263671875,0;0;60;6;0
1030;Jasperlode Mine;-9184.5,-605.8909912109375,0;0;91;6;0
1031;Janeiro's Point;-14179.599609375,718,0;0;35;6;0
1032;Algaz Station;-4817.7900390625,-2666.699951171875,0;0;838;6;0
1033;Grim Batol;-4055,-3448.5400390625,0;0;1038;6;0
1047;Venture Co. Mine;-1501.489990234375,-1036.18994140625,0;1;820;6;0
1048;Blackwood Den;4619.419921875,25.612600326538086,0;1;449;6;0
1049;Wildbend River;5056.0400390625,220.7550048828125,0;1;448;6;0
1050;Cliffspring Falls;6870.56982421875,-662.39599609375,0;1;456;6;0
1067;Fray Island;-1668.510009765625,-4329.2001953125,0;1;-1;6;0
1068;Wailing Caverns;-837.968017578125,-2037,0;1;387;6;0
1087;Shady Rest Inn;-3723.6298828125,-2535.179931640625,0;1;2302;6;0
1088;Darkmist Cavern;-2829.7900390625,-2722.81005859375,0;1;496;6;0
1089;North Point Tower;-2884.7900390625,-3429.989990234375,0;1;496;6;0
1090;Bluefen;-2685.320068359375,-3087.580078125,0;1;496;6;0
1091;Lost Point;-3925.5,-2862.14990234375,0;1;2302;6;0
1092;Tidefury Cove;-4300.97998046875,-4062.7099609375,0;1;511;6;0
1093;Stonemaul Ruins;-4346.02001953125,-3321.14990234375,0;1;510;6;0
1094;Onyxia's Lair;-4698.06005859375,-3720.580078125,0;1;511;6;0
1095;Emberstrife's Den;-4987.72998046875,-3832.989990234375,0;1;511;6;0
1096;Bloodfen Burrow;-4335.0400390625,-2639.530029296875,0;1;509;6;0
1097;Sentry Point;-3476.590087890625,-4109.080078125,0;1;502;6;0
1098;Swamplight Manor;-2949.469970703125,-3893.5,0;1;502;6;0
1099;Irondeep Mine;793.7509765625,-330.1969909667969,0;30;0;3;0
1100;Stonehearth Outpost;1.667639970779419,-292.67498779296875,0;30;0;6;0
1101;Iceblood Garrison;-537.8070068359375,-168.36300659179688,0;30;0;6;0
1102;Coldtooth Mine;-946.9119873046875,-195.45399475097656,0;30;0;2;0
1103;Frostwolf Keep;-1369.010009765625,-225.3699951171875,0;30;0;6;0
1104;Marshal's Refuge;-6143.2099609375,-1078.8900146484375,0;1;538;6;0
1105;Fungal Rock;-6370.14990234375,-1836.52001953125,0;1;538;6;0
1106;Wavestrider Beach;-7693.4501953125,-4878.9599609375,0;1;1336;6;0
1107;Uldum;-9635.41015625,-2787.199951171875,0;1;990;6;0
1108;Darkcloud Pinnacle;-5086.2099609375,-1919.43994140625,0;1;2097;6;0
1109;Roguefeather Den;-5466.7099609375,-1636.27001953125,0;1;483;6;0
1110;Mirage Raceway;-6239.419921875,-3973.1201171875,0;1;439;6;0
1111;The Rustmaul Digsite;-6490.60986328125,-3449.14990234375,0;1;439;6;0
1112;Splithoof Hold;-5065.60986328125,-2367.610107421875,0;1;481;6;0
1113;The Weathered Nook;-5213.85009765625,-2794.530029296875,0;1;481;6;0
1114;Ironstone Camp;-5848.0498046875,-3412.3798828125,0;1;2303;6;0
1115;Weazel's Crater;-5799.93994140625,-3899.530029296875,0;1;439;6;0
1116;Tahonda Ruins;-6569.91015625,-3894.969970703125,0;1;439;6;0
1127;Roland's Doom;-11076,-1139.97998046875,0;0;241;6;0
1128;Beggar's Haunt;-10349.7001953125,-1538.800048828125,0;0;42;6;0
1147;Bolgan's Hole;-2281.949951171875,2499.60009765625,0;1;606;6;0
1148;Maraudon;-1422.6199951171875,2918.449951171875,0;1;607;6;0
1149;Ghost Walker Post;-1224.06005859375,1736.6700439453125,0;1;596;6;0
1150;Scrabblescrew's Camp;-1407.8699951171875,1493.1300048828125,0;1;602;6;0
1151;Valley of Bones;-2251.18994140625,1513.550048828125,0;1;602;6;0
1168;Rage Scar Hold;-3842.7099609375,1738.93994140625,0;1;1119;6;0
1169;Ruins of Solarsal;-4852.91015625,3616.6298828125,0;1;1117;6;0
1171;Ravaged Twilight Camp;-6206.25,1766.949951171875,0;1;2740;6;0
1172;Twilight Post;-6740.0400390625,1636.3199462890625,0;1;3098;6;0
1173;Twilight Outpost;-7929.10986328125,1833.280029296875,0;1;2743;6;0
1174;Woodpaw Hills;-4915.81005859375,199.27499389648438,0;1;1101;6;0
1175;Lariss Pavillion;-4052.719970703125,81.55249786376953,0;1;1103;6;0
1176;Slither Rock;-7652.52001953125,-3030.610107421875,0;0;2420;6;0
1177;Flame Crest;-7479.77001953125,-2186.39990234375,0;0;250;6;0
1187;Shalzaru's Lair;-5492.3701171875,3622.7900390625,0;1;1121;6;0
1208;Stormpike Graveyard;666.927001953125,-305.54400634765625,0;30;0;15;0
1209;Snowfall Graveyard;-202.69500732421875,-112.56900024414062,0;30;0;13;0
1210;Frostwolf Graveyard;-1083.31005859375,-307.4020080566406,0;30;0;13;0
1211;Scalebeard's Cave;3705.10009765625,-6043.4501953125,0;1;1227;6;0
1212;Timbermaw Hold;6900.6298828125,-2298.179931640625,0;1;2246;6;0
1213;The Ruins of Kel'Theril;6426.759765625,-4304.990234375,0;1;2251;6;0
1214;Dun Mandarr;5718.830078125,-4507.31005859375,0;1;2245;6;0
1215;Talrendis Point;2707.719970703125,-3869.25,0;1;1235;6;0
1216;Rethress Sanctum;2195.669921875,-6438.330078125,0;1;1256;6;0
1217;Moon Horror Den;7123.02001953125,-4631.56982421875,0;1;2255;6;0
1218;Timbermaw Hold;6817.77978515625,-2097.679931640625,0;1;1762;6;0
1219;Irontree Cavern;6481.8701171875,-1571,0;1;1767;6;0
1220;Bloodvenom Post;5111.97998046875,-353.40301513671875,0;1;1765;6;0
1227;Sishir Canyon;515.844970703125,624.0499877929688,0;1;2541;6;0
1228;Cragpool Lake;1543.5699462890625,70.13379669189453,0;1;461;6;0
1229;Windshear Mine;981.948974609375,-358.8999938964844,0;1;461;6;0
1230;The Talondeep Path;1531.93994140625,-576.5700073242188,0;1;461;6;0
1231;The Talon Den;2416.889892578125,1792.3900146484375,0;1;467;6;0
1232;The Ruins of Ordil'Aran;3493.889892578125,-119.60099792480469,0;1;413;6;0
1233;Bathran's Haunt;3827.3701171875,-161.30499267578125,0;1;413;6;0
1234;Zoram'gar Outpost;3362.219970703125,1010.1599731445312,0;1;414;6;0
1235;Falfarren River;2231.2099609375,-2222.909912109375,0;1;428;6;0
1237;Xavian;2936.56005859375,-2822.669921875,0;1;430;6;0
1238;Forest Song;2880.330078125,-3287.5400390625,0;1;430;6;0
1239;Demon Fall Canyon;1702.449951171875,-3150.989990234375,0;1;434;6;0
1240;Silverwing Outpost;1776.6400146484375,-2065.14990234375,0;1;422;6;0
1241;The Dor'Danil Barrow Den;1776.22998046875,-2678.360107421875,0;1;422;6;0
1242;Silverwind Refuge;2130.27001953125,-1190.25,0;1;421;6;0
1243;Greenpaw Village;2291.2900390625,-1444.9599609375,0;1;421;6;0
1244;Bloodtooth Camp;1612.52001953125,-1465.0999755859375,0;1;421;6;0
1245;The Talondeep Path;1930.260009765625,-732.677001953125,0;1;421;6;0
1246;Shrine of Remulos;7856.18017578125,-2215.449951171875,0;1;656;6;0
1247;Nighthaven;7961.75,-2491.77001953125,0;1;656;6;0
1248;Stormrage Barrow Dens;7564.509765625,-2951.719970703125,0;1;656;6;0
1249;Dun Baldar South Bunker;571.5349731445312,-80.54299926757812,0;30;0;11;0
1250;Dun Baldar North Bunker;668.0399780273438,-128.17599487304688,0;30;0;11;0
1251;Icewing Bunker;217.4250030517578,-359.7640075683594,0;30;0;11;0
1252;Iceblood Tower;-562.1719970703125,-273.5539855957031,0;30;-1;10;0
1254;Tower Point;-760.6640014648438,-347.32598876953125,0;30;-1;10;0
1255;East Frostwolf Tower;-1302.6500244140625,-305.885986328125,0;30;-1;10;0
1268;Warsong Labor Camp;1575.9100341796875,-2463.93994140625,0;1;422;6;0
1287;Ariden's Camp;-10443.2998046875,-2141.10009765625,0;0;2697;6;0
1288;Deadwind Ravine;-10572,-1841.050048828125,0;0;2697;6;0
1289;Sleeping Gorge;-10740.7998046875,-1973.6800537109375,0;0;2938;6;0
1307;Chillwind Camp;921.0540161132812,-1421.4599609375,0;0;197;6;0
1328;Dun Baldar;693.094970703125,-19.19700050354004,0;30;0;6;0
