ID;MinLevelSquish;MaxLevelSquish;LfgMinLevel;LfgMaxLevel
27;0;0;0;0
181;1;0;0;0
371;1;1;0;0
1395;5;0;0;0
1396;10;0;0;0
1731;1;9;0;0
1732;1;12;0;0
2180;1;60;0;0
2836;10;0;0;0
4509;60;60;0;0
4512;28;28;0;0
4522;35;35;0;0
4549;26;26;0;0
4550;55;55;0;0
5019;0;0;0;0
5084;60;60;0;0
5146;0;0;0;0
5237;22;22;0;0
5238;48;48;0;0
5239;53;53;0;0
5240;16;16;0;0
5241;54;54;0;0
5242;25;25;0;0
5243;42;42;0;0
5244;13;13;0;0
5245;34;34;0;0
5246;24;24;0;0
5247;30;30;0;0
5248;57;57;0;0
5249;18;18;0;0
5250;23;23;0;0
5251;55;55;0;0
5252;45;45;0;0
5253;35;35;0;0
5254;17;17;0;0
5255;42;42;0;0
5256;15;15;27;27
5376;32;36;0;0
5841;1;1;0;0
5905;20;20;0;0
5906;40;40;0;0
5995;5;5;0;0
6051;10;10;0;0
6061;48;48;0;0
6102;50;60;0;0
6103;17;49;0;0
6147;22;30;0;0
6148;24;32;0;0
6149;29;38;0;0
6150;34;45;0;0
6151;37;46;0;0
6152;41;51;0;0
6153;44;54;0;0
6154;46;55;0;0
6155;13;18;0;0
6156;17;24;0;0
6259;0;0;0;0
6326;40;40;0;0
6409;35;47;0;0
6773;60;60;0;0
6874;26;26;0;0
7000;13;13;0;0
7033;60;60;0;0
7321;13;13;0;0
7323;13;13;13;13
7413;40;40;0;0
7414;20;60;0;0
7415;30;60;0;0
7416;45;60;0;0
7419;40;60;0;0
7420;10;60;0;0
7421;15;60;0;0
7422;20;60;0;0
7423;25;60;0;0
7424;30;60;0;0
7425;35;60;0;0
7426;40;60;0;0
7427;45;60;0;0
7428;50;60;0;0
7429;1;19;0;0
7430;20;60;0;0
7431;10;60;0;0
7432;1;9;0;0
7433;1;50;0;0
7434;51;60;0;0
7435;1;29;0;0
7436;30;60;0;0
7440;24;60;0;0
7449;13;49;0;0
7456;20;29;0;0
7457;30;39;0;0
7458;40;49;0;0
7459;50;59;0;0
7460;10;19;0;0
7483;24;49;0;0
7484;50;60;0;0
7485;25;34;0;0
7486;35;44;0;0
7487;45;60;0;0
7491;51;60;0;0
