ID;Directory;MapName_lang;InstanceType;ParentMapID;Corpse;CorpseMapID;AreaTableID
0;Azeroth;Eastern Kingdoms;0;-1;0,0;-1;0
1;Kalimdor;Kalimdor;0;-1;0,0;-1;0
13;test;Test Dungeon;1;-1;0,0;-1;13649
25;ScottTest;Scott Test;0;-1;0,0;-1;0
29;TEST_01;CashTest;1;-1;0,0;-1;0
30;PVPZone01;Alterac Valley;3;-1;0,0;-1;0
33;Shadowfang;Shadowfang Keep;1;-1;-230.98936462402344,1571.5703125;0;0
34;StormwindJail;Stormwind Stockade;1;-1;-8762.37890625,848.0103149414062;0;717
35;StormwindPrison;<unused>StormwindPrison;0;-1;-8762.4765625,848.0491333007812;0;717
36;DeadminesInstance;Deadmines;1;-1;-11207.798828125,1681.15087890625;0;0
37;PVPZone02;Azshara Crater;0;-1;0,0;-1;0
42;Collin;Collin's Test;0;-1;0,0;-1;0
43;WailingCaverns;Wailing Caverns;1;-1;-751.1312255859375,-2209.240478515625;1;718
44;Monastery;<unused> Monastery;1;-1;2892.413330078125,-811.2413330078125;0;0
47;RazorfenKraulInstance;Razorfen Kraul;1;-1;-4459.44921875,-1660.2117919921875;1;0
48;Blackfathom;Blackfathom Deeps;1;-1;4249.12060546875,748.3870849609375;1;719
70;Uldaman;Uldaman;1;-1;-6060.181640625,-2954.997314453125;0;1337
90;GnomeragonInstance;Gnomeregan;1;-1;-5162.66162109375,931.5987548828125;0;721
109;SunkenTemple;Sunken Temple;1;-1;-10170.099609375,-3995.969970703125;0;1477
129;RazorfenDowns;Razorfen Downs;1;-1;-4662.8828125,-2535.87158203125;1;0
169;EmeraldDream;Emerald Dream;2;-1;0,0;-1;0
189;MonasteryInstances;Scarlet Monastery;1;-1;2892.2353515625,-811.263671875;0;0
209;TanarisInstance;Zul'Farrak;1;-1;-6790.57666015625,-2891.278076171875;1;0
229;BlackRockSpire;Blackrock Spire;1;-1;-7522.52685546875,-1233.04150390625;0;1583
230;BlackrockDepths;Blackrock Depths;1;-1;-7178.0947265625,-928.6394653320312;0;1584
249;OnyxiaLairInstance;Onyxia's Lair;2;-1;-4753.3125,-3752.421142578125;1;2159
269;CavernsOfTime;Caverns of Time;1;-1;0,0;0;0
289;SchoolofNecromancy;Scholomance;1;-1;1274.78125,-2552.56396484375;0;0
309;Zul'gurub;Zul'Gurub;2;-1;-11916.0595703125,-1224.5771484375;0;1977
329;Stratholme;Stratholme;1;-1;3392.31689453125,-3378.483154296875;0;0
349;Mauradon;Maraudon;1;-1;-1432.6971435546875,2924.9775390625;1;2100
369;DeeprunTram;Deeprun Tram;0;-1;-8349.2236328125,517.3479614257812;0;2257
389;OrgrimmarInstance;Ragefire Chasm;1;-1;1816.755859375,-4423.37158203125;1;2437
409;MoltenCore;Molten Core;2;-1;-7510.56494140625,-1036.6981201171875;0;2717
429;DireMaul;Dire Maul;1;-1;-3908.030029296875,1130;1;2557
449;AlliancePVPBarracks;Alliance PVP Barracks;0;-1;0,0;0;2918
450;HordePVPBarracks;Horde PVP Barracks;0;-1;0,0;0;2917
469;BlackwingLair;Blackwing Lair;2;-1;-7663.41015625,-1218.6700439453125;0;2677
489;PVPZone03;Warsong Gulch;3;-1;0,0;0;3277
509;AhnQiraj;Ruins of Ahn'Qiraj;2;-1;-8114.46435546875,1526.36572265625;1;3429
529;PVPZone04;Arathi Basin;3;-1;0,0;0;3358
531;AhnQirajTemple;Ahn'Qiraj Temple;2;-1;-8111.72412109375,1526.7857666015625;1;3428
533;Stratholme Raid;Naxxramas;2;-1;0,0;0;3456
2720;2720;The Searing Basin;1;-1;0,0;-1;0
2784;2784;Demon Fall Canyon;1;-1;0,0;-1;0
2789;2789;The Tainted Scar;2;-1;0,0;-1;0
2791;2791;Storm Cliffs;2;-1;0,0;-1;0
2804;2804;The Crystal Vale;2;-1;0,0;-1;0
2806;2806;Shadow Hold;1;-1;0,0;-1;0
2807;2807;Burning of Andorhal;1;-1;0,0;-1;0
2817;2817;Starfall Barrow Den;1;-1;0,0;-1;0
2832;2832;Nightmare Grove;2;-1;0,0;-1;0
2853;2853;Deadwind Pass;1;-1;0,0;-1;0
2856;2856;Scarlet Enclave;2;-1;0,0;-1;0
2868;2868;Eastern Plaguelands (Scarlet Raid Phase);0;0;0,0;-1;0
2875;2875;Karazhan Crypts;1;-1;0,0;-1;16074
2902;2902;The Scarab Dais;1;-1;0,0;-1;0
2921;2921;Naxxramas;1;-1;0,0;-1;0
2959;2959;City of Dalaran;1;-1;0,0;-1;16544
2980;2980;Dalaran City;0;0;0,0;-1;0
2991;2991;Zephras Isle;0;-1;0,0;-1;0
2995;2995;Hyjal Crater;4;-1;0,0;-1;0
2996;2996;Warsong Gulch (Winter);0;-1;0,0;-1;0
2997;2997;Darkspear Islands;;;;;
- Capture the Darkspear relic;;;;;;;
- Earn 1500 resources";0,0;1;-1;136;-1;0;1
2998;2998;Excavation Site: Wetlands;1;-1;0,0;-1;0
2999;2999;Ruins of Lordaeron;1;-1;0,0;-1;0
3002;3002;Half-Pint Tavern;1;-1;0,0;-1;0
3005;3005;Battle for Gilneas;3;-1;0,0;-1;0
3021;3021;Eastern Kingdoms Preserved;0;-1;0,0;-1;0
3065;3065;The Hall of Thanes;1;-1;0,0;-1;0
3104;3104;nothing to see here;0;-1;0,0;-1;0
3109;3109;Manor Mistmantle;1;-1;0,0;-1;0
