ID;Name_lang;Pos;ContinentID;CharacterBitNumber;Flags;MountCreatureID
1;Northshire Abbey;-8888.98046875,-0.5400000214576721,94.38999938964844;0;0;0;308,0
2;Stormwind, Elwynn;-8840.5595703125,489.70001220703125,109.61000061035156;0;2;1;0,541
3;Programmer Isle;16391.810546875,16341.2099609375,69.44000244140625;0;0;0;308,0
4;Sentinel Hill, Westfall;-10628.8896484375,1036.6800537109375,34.060001373291016;0;4;1;0,541
5;Lakeshire, Redridge;-9429.099609375,-2231.39990234375,68.6500015258789;0;5;1;0,541
6;Ironforge, Dun Morogh;-4821.77978515625,-1155.43994140625,502.2099914550781;0;6;1;0,541
7;Menethil Harbor, Wetlands;-3792.260009765625,-783.2899780273438,9.0600004196167;0;7;1;0,541
8;Thelsamar, Loch Modan;-5421.91015625,-2930.010009765625,347.25;0;8;1;0,541
9;Booty Bay, Stranglethorn;-14271.76953125,299.8699951171875,31.09000015258789;0;0;0;0,541
10;The Sepulcher, Silverpine Forest;478.8599853515625,1536.5899658203125,131.32000732421875;0;10;2;3574,0
11;Undercity, Tirisfal;1568.6199951171875,267.9700012207031,-43.099998474121094;0;11;2;3574,0
12;Darkshire, Duskwood;-10515.4599609375,-1261.6500244140625,41.34000015258789;0;12;1;0,541
13;Tarren Mill, Hillsbrad;-0.05999999865889549,-859.9099731445312,58.83000183105469;0;13;2;3574,0
14;Southshore, Hillsbrad;-711.47998046875,-515.47998046875,26.110000610351562;0;14;1;0,541
15;Eastern Plaguelands;2253.39990234375,-5344.89990234375,83.37999725341797;0;0;0;0,541
16;Refuge Pointe, Arathi;-1240.530029296875,-2515.110107421875,22.15999984741211;0;16;1;0,541
17;Hammerfall, Arathi;-916.2899780273438,-3496.889892578125,70.44999694824219;0;17;2;2224,0
18;Booty Bay, Stranglethorn;-14444.2900390625,509.6199951171875,26.200000762939453;0;18;2;2224,0
19;Booty Bay, Stranglethorn;-14473.0498046875,464.1499938964844,36.43000030517578;0;19;1;0,541
